35
Angelina River,26,22,18,22,20,24,19,23,21,22,18,19
Blanco River,25,21,22,21,21,19,19,20,22,21,23,22
Bosque River,16,21,23,22,26,20,20,20,20,20,21,23
Brazos River,19,20,22,15,19,20,17,21,24,21,22,18
Canadian River,21,21,20,18,19,22,19,20,25,24,20,16
Colorado River,20,19,19,15,22,18,24,17,20,19,18,21
Concho River,16,21,19,18,17,17,26,21,19,23,19,22
Guadalupe River,22,23,15,23,20,18,18,18,20,17,18,20
James River,16,21,27,16,17,16,21,24,18,18,21,21
Lampasas River,22,15,15,19,19,19,20,21,21,17,21,27
Lavaca River,20,15,15,19,25,14,19,15,27,20,15,22
Leon River,22,19,26,21,20,21,21,20,26,23,24,21
Little River,19,17,18,15,24,21,22,23,21,13,23,27
Llano River,18,19,23,20,21,18,20,20,19,20,20,23
Navidad River,19,18,25,21,22,24,21,20,20,23,21,20
Neches River,20,15,21,17,18,23,22,23,21,18,22,21
Nolan River,23,21,18,18,18,23,21,21,25,21,22,17
Nueces River,19,20,20,23,20,20,22,23,18,19,19,26
Paluxy River,23,21,24,20,22,22,16,16,23,22,18,18
Pease River,17,16,21,21,21,19,23,23,19,22,20,18
Pedernales River,27,15,20,19,20,19,21,26,19,17,24,22
Prairie Dog Town Fork Red River,23,20,22,23,19,19,20,20,24,16,24,18
Red River,20,19,19,18,22,25,22,15,19,20,22,21
Rio Grande,23,21,20,17,20,25,19,21,21,24,19,23
Sabine River,24,17,25,17,26,20,24,22,21,18,24,21
San Antonio River,16,21,20,20,21,23,17,18,21,26,20,21
San Bernard River,21,22,24,20,21,21,24,22,19,23,18,22
San Gabriel River,23,18,21,18,15,12,22,26,19,22,21,17
San Jacinto River,18,22,21,20,22,18,19,22,29,19,21,19
San Marcos River,16,18,19,16,21,18,19,15,21,22,19,23
San Saba River,23,21,19,20,26,21,25,20,18,25,17,14
Sulphur River,23,17,22,19,17,19,19,23,19,19,24,20
Trinity River,22,23,21,19,19,19,17,20,23,17,20,18
White River,21,21,20,20,13,20,21,19,24,20,17,25
Wichita River,24,21,17,21,22,23,17,18,24,22,20,23
